ds,yhat
2014-12-31 00:00:00,15.94
2014-12-31 01:00:00,16.46
2014-12-31 02:00:00,16.18
2014-12-31 03:00:00,16.42
2014-12-31 04:00:00,16.1
2014-12-31 05:00:00,15.98
2014-12-31 06:00:00,14.88
2014-12-31 07:00:00,18.28
2014-12-31 08:00:00,19.98
2014-12-31 09:00:00,20.68
2014-12-31 10:00:00,21.74
2014-12-31 11:00:00,21.76
2014-12-31 12:00:00,20.5
2014-12-31 13:00:00,20.8
2014-12-31 14:00:00,20.3
2014-12-31 15:00:00,21.9
2014-12-31 16:00:00,23.44
2014-12-31 17:00:00,23.62
2014-12-31 18:00:00,29.86
2014-12-31 19:00:00,32.46
2014-12-31 20:00:00,37.54
2014-12-31 21:00:00,47.28
2014-12-31 22:00:00,57.28
2014-12-31 23:00:00,60.56
